rel_ID,:START_ID,:END_ID,:TYPE,description,relationship_type
r_6fe2e59a,d_e07af921,n_5fd702fb,CONTAINS,The DesignPrinciple domain contains Comments as Design Tool,hierarchical
r_2040f30a,d_e07af921,n_664ab977,CONTAINS,The DesignPrinciple domain contains Problem Decomposition,hierarchical
r_71c87e26,d_e07af921,n_ed737014,CONTAINS,The DesignPrinciple domain contains Eliminate Duplication,hierarchical
r_e3d72531,d_e07af921,n_40d16a58,CONTAINS,The DesignPrinciple domain contains API Design,hierarchical
r_1c0283de,d_e07af921,n_f13b38e8,CONTAINS,The DesignPrinciple domain contains Information Hiding Principle,hierarchical
r_e432af87,d_e07af921,n_15e0daf1,CONTAINS,The DesignPrinciple domain contains Interface vs Implementation,hierarchical
r_4cb579be,d_e07af921,n_d49f0971,CONTAINS,The DesignPrinciple domain contains Complex Interface,hierarchical
r_e6bfd64d,d_e07af921,n_56ce2dc0,CONTAINS,"The DesignPrinciple domain contains Different Layer, Different Abstraction",hierarchical
r_2c4bc1db,d_e07af921,n_2c1341ba,CONTAINS,The DesignPrinciple domain contains Design-it-Twice Principle,hierarchical
r_82076332,d_e07af921,n_43b1c2e1,CONTAINS,The DesignPrinciple domain contains Encapsulation,hierarchical
r_6c8511f0,d_e07af921,n_a8253eff,CONTAINS,The DesignPrinciple domain contains Variable Naming,hierarchical
r_902599f8,d_e07af921,n_c50ae196,CONTAINS,The DesignPrinciple domain contains Comments-First Approach,hierarchical
r_9bc5e8e6,d_e07af921,n_1eb3f43e,CONTAINS,The DesignPrinciple domain contains Incremental Development,hierarchical
r_1ee47d2f,d_e07af921,n_93434fa3,CONTAINS,The DesignPrinciple domain contains Tactical Programming,hierarchical
r_09169ab5,d_e07af921,n_91c9ed43,CONTAINS,The DesignPrinciple domain contains Simplicity in Design,hierarchical
r_75080ae1,d_e07af921,n_dd2554fb,CONTAINS,The DesignPrinciple domain contains Critical Paths,hierarchical
r_d009ea94,d_e07af921,n_76feffcd,CONTAINS,The DesignPrinciple domain contains Complexity Management,hierarchical
r_b96af95e,d_e07af921,n_e3add1fd,CONTAINS,The DesignPrinciple domain contains Critical Path Design,hierarchical
r_4eb31a77,d_e07af921,n_9c4ad5bd,CONTAINS,The DesignPrinciple domain contains self-documenting code,hierarchical
r_184b5f43,d_e07af921,n_9cb7c910,CONTAINS,The DesignPrinciple domain contains small classes,hierarchical
r_57d24bb5,d_e07af921,n_15580657,CONTAINS,The DesignPrinciple domain contains Code Review,hierarchical
r_ca92c9de,d_e07af921,n_85a449e7,CONTAINS,The DesignPrinciple domain contains Naming Conventions,hierarchical
r_f41f90a5,d_e07af921,n_230207ba,CONTAINS,The DesignPrinciple domain contains Portability Strategy,hierarchical
r_03d6e31e,d_e07af921,n_93d4ba31,CONTAINS,The DesignPrinciple domain contains Lazy Evaluation,hierarchical
r_a7c548dc,d_e07af921,n_ef0b52f0,CONTAINS,The DesignPrinciple domain contains Type Checking,hierarchical
r_8d259463,d_e07af921,n_7fbe24a8,CONTAINS,The DesignPrinciple domain contains Refactoring,hierarchical
r_25ed22a7,d_e07af921,n_2137698d,CONTAINS,The DesignPrinciple domain contains SHA,hierarchical
r_9efba6f2,d_e07af921,n_5281afcf,CONTAINS,The DesignPrinciple domain contains Zero Defects Policy,hierarchical
r_ebb1b541,d_e07af921,n_1769fdf7,CONTAINS,The DesignPrinciple domain contains Agile Development Model,hierarchical
r_0b387ae5,d_e07af921,n_65fb5527,CONTAINS,The DesignPrinciple domain contains Modularization,hierarchical
r_f562ce36,d_e07af921,n_737441dd,CONTAINS,The DesignPrinciple domain contains Incremental Modifications,hierarchical
r_f550b56c,d_e07af921,n_28ff9886,CONTAINS,The DesignPrinciple domain contains Code Reorganization,hierarchical
r_d60ea055,d_e07af921,n_03fe48a9,CONTAINS,The DesignPrinciple domain contains high-level API,hierarchical
r_e314cfce,d_e07af921,n_b2ed89cf,CONTAINS,The DesignPrinciple domain contains Lazy Loading,hierarchical
r_557d786e,d_e07af921,n_30e2718b,CONTAINS,The DesignPrinciple domain contains Dynamic Language Choice,hierarchical
r_67061897,d_e07af921,n_debe1e07,CONTAINS,The DesignPrinciple domain contains Network Transparency,hierarchical
r_4553e5e0,d_e07af921,n_5204212c,CONTAINS,The DesignPrinciple domain contains Simplicity,hierarchical
r_2dda7a40,d_e07af921,n_3091a0a6,CONTAINS,The DesignPrinciple domain contains Object-Relational Impedance Mismatch,hierarchical
r_8bd37feb,d_e07af921,n_814da0fb,CONTAINS,The DesignPrinciple domain contains Leaky Abstraction,hierarchical
r_aa4e6edb,d_e07af921,n_8c2ec5cf,CONTAINS,The DesignPrinciple domain contains Agile Development Methodologies,hierarchical
r_4a82a7fc,d_e07af921,n_274e258a,CONTAINS,The DesignPrinciple domain contains RESTful Principles,hierarchical
r_a899ea6b,d_e07af921,n_0dec3e39,CONTAINS,The DesignPrinciple domain contains End-to-End Principle,hierarchical
r_6e83201a,d_e07af921,n_ef2a2124,CONTAINS,The DesignPrinciple domain contains Law of Demeter,hierarchical
r_f7296476,d_e07af921,n_c8d8242f,CONTAINS,The DesignPrinciple domain contains Implicit Code Design,hierarchical
r_b4ec25c5,d_e07af921,n_73580b0c,CONTAINS,The DesignPrinciple domain contains Behavior-Rich Interface,hierarchical
r_144f5ed3,d_e07af921,n_74477190,CONTAINS,The DesignPrinciple domain contains Test-First Approach,hierarchical
r_83edd7b7,d_e07af921,n_ff80def8,CONTAINS,The DesignPrinciple domain contains Strategic Modeling,hierarchical
r_bef8192b,d_e07af921,n_bcaf9225,CONTAINS,The DesignPrinciple domain contains Minimalistic State Management,hierarchical
r_d64c58bb,d_e07af921,n_2ecce78e,CONTAINS,The DesignPrinciple domain contains HATEOAS,hierarchical
r_92c907ee,d_e07af921,n_833acec0,CONTAINS,The DesignPrinciple domain contains Table View Naming Convention,hierarchical
r_48af6b6d,d_e07af921,n_545672d1,CONTAINS,The DesignPrinciple domain contains Practicality in View Management,hierarchical
r_967a1f48,d_e07af921,n_9b7f0413,CONTAINS,The DesignPrinciple domain contains Fine-Grained Interfaces,hierarchical
r_2695b1f5,d_e07af921,n_4af9ba9a,CONTAINS,The DesignPrinciple domain contains Conceptual Whole,hierarchical
r_5941b934,d_e07af921,n_a04cc6ce,CONTAINS,The DesignPrinciple domain contains Value Equality,hierarchical
r_9290d2b3,d_e07af921,n_8deec6ae,CONTAINS,The DesignPrinciple domain contains Interface Implementation,hierarchical
r_cee91ff1,d_e07af921,n_b5de0e02,CONTAINS,The DesignPrinciple domain contains Side-Effect-Free Function,hierarchical
r_8153cd13,d_e07af921,n_21765a73,CONTAINS,The DesignPrinciple domain contains Immutability,hierarchical
r_abd79802,d_e07af921,n_a1b47888,CONTAINS,The DesignPrinciple domain contains Single Responsibility Principle,hierarchical
r_7dbe8ce5,d_e07af921,n_c1218fec,CONTAINS,The DesignPrinciple domain contains Encryption Responsibility,hierarchical
r_8ad1a350,d_e07af921,n_5d3db753,CONTAINS,The DesignPrinciple domain contains URI Stability,hierarchical
r_fe52cd26,d_e07af921,n_a76aa40b,CONTAINS,The DesignPrinciple domain contains CQS (Command Query Separation),hierarchical
r_05e8533f,d_e07af921,n_aa61d38c,CONTAINS,The DesignPrinciple domain contains User Interface Convenience,hierarchical
r_40796712,d_e07af921,n_092fadd2,CONTAINS,"The DesignPrinciple domain contains Tell, Don’t Ask",hierarchical
r_578e15ec,d_e07af921,n_ddbe2c1d,CONTAINS,The DesignPrinciple domain contains DIP (Dependency Inversion Principle),hierarchical
r_0f7313d6,d_e07af921,n_e40489cd,CONTAINS,The DesignPrinciple domain contains Inheritance,hierarchical
r_6e86f8cd,d_e07af921,n_61f6dc35,CONTAINS,The DesignPrinciple domain contains Design for Testability,hierarchical
r_771404fb,d_e07af921,n_a5c3018b,CONTAINS,The DesignPrinciple domain contains Open-Closed Principle,hierarchical
r_641f791f,d_e07af921,n_6cd7135a,CONTAINS,The DesignPrinciple domain contains Object-Oriented Programming (OOP),hierarchical
r_e58f6117,d_e07af921,n_371fedf6,CONTAINS,The DesignPrinciple domain contains Polymorphism,hierarchical
r_6eb8c485,d_e07af921,n_728c5440,CONTAINS,The DesignPrinciple domain contains Functional Programming,hierarchical
r_e8476df7,d_e07af921,n_9482f619,CONTAINS,The DesignPrinciple domain contains Dependency Inversion,hierarchical
r_ed0f4ac7,d_e07af921,n_ab4faa06,CONTAINS,The DesignPrinciple domain contains Common Closure Principle,hierarchical
r_37a2fc87,d_e07af921,n_840a2a67,CONTAINS,The DesignPrinciple domain contains Common Reuse Principle,hierarchical
r_8a5f5688,d_e07af921,n_4eba65a0,CONTAINS,The DesignPrinciple domain contains Open Closed Principle,hierarchical
r_cada5288,d_e07af921,n_4662cd8b,CONTAINS,The DesignPrinciple domain contains Component Principles,hierarchical
r_3a74d7b9,d_e07af921,n_e01c9ed8,CONTAINS,The DesignPrinciple domain contains Stable Dependencies Principle,hierarchical
r_a24c0f56,d_e07af921,n_589090ae,CONTAINS,The DesignPrinciple domain contains Component Cohesion Principles,hierarchical
r_90e99f2b,d_e07af921,n_0ffa8205,CONTAINS,The DesignPrinciple domain contains Component Stability Metric,hierarchical
r_3e952b17,d_e07af921,n_1290f8a7,CONTAINS,The DesignPrinciple domain contains Instability Metric (I),hierarchical
r_920b9a2d,d_e07af921,n_922b4525,CONTAINS,The DesignPrinciple domain contains Control Limits,hierarchical
r_de867deb,d_e07af921,n_b3689585,CONTAINS,The DesignPrinciple domain contains Statistical Analysis,hierarchical
r_89d71e2d,d_e07af921,n_d058c219,CONTAINS,The DesignPrinciple domain contains Stable Abstractions Principle,hierarchical
r_64088f87,d_e07af921,n_ba4e00d0,CONTAINS,The DesignPrinciple domain contains Decoupling,hierarchical
r_048d24ec,d_e07af921,n_da775177,CONTAINS,The DesignPrinciple domain contains Independent Developability,hierarchical
r_5a942e00,d_e07af921,n_03042904,CONTAINS,The DesignPrinciple domain contains Framework Dependency Management,hierarchical
r_e0885285,d_e07af921,n_4ded5fb8,CONTAINS,The DesignPrinciple domain contains Dependency Rule,hierarchical
r_1fc049f7,d_e07af921,n_4154b559,CONTAINS,The DesignPrinciple domain contains Structural Coupling,hierarchical
r_8c039cc3,d_e07af921,n_ab233f2d,CONTAINS,The DesignPrinciple domain contains DRY Principle,hierarchical
r_0eabc083,d_e07af921,n_ac2823ba,CONTAINS,The DesignPrinciple domain contains Decoupling Business Rules from UI,hierarchical
r_326630d6,d_e07af921,n_22d1e834,CONTAINS,The DesignPrinciple domain contains Volatile Components,hierarchical
r_199033f4,d_e07af921,n_30d222df,CONTAINS,The DesignPrinciple domain contains Public Access Modifier,hierarchical
r_51a90a7b,d_e07af921,n_d6b6a784,CONTAINS,The DesignPrinciple domain contains Responsibility-Driven Design,hierarchical
r_08296d86,d_e07af921,n_f81550ab,CONTAINS,The DesignPrinciple domain contains Open-Closed Principle (OCP),hierarchical
r_ac1cff57,d_e07af921,n_bdc109c4,CONTAINS,The DesignPrinciple domain contains Acyclic Dependencies Principle,hierarchical
r_df5c9336,d_e07af921,n_7a29f15f,CONTAINS,The DesignPrinciple domain contains Reuse/Release Equivalence Principle,hierarchical
r_4f0d52a1,d_e07af921,n_76377854,CONTAINS,The DesignPrinciple domain contains Design for Change,hierarchical
r_d2def545,d_e07af921,n_8b8749a7,CONTAINS,The DesignPrinciple domain contains Defer Binding Decisions,hierarchical
r_1491d87e,d_e07af921,n_170fc901,CONTAINS,The DesignPrinciple domain contains Last Responsible Moment,hierarchical
r_e2864396,d_e07af921,n_7ffb4d79,CONTAINS,The DesignPrinciple domain contains Most Responsible Moment,hierarchical
r_ea7434f7,d_e07af921,n_864a61aa,CONTAINS,The DesignPrinciple domain contains Design Rationale,hierarchical
r_7c9a5a68,d_e07af921,n_1ed239ca,CONTAINS,The DesignPrinciple domain contains Decision Matrix,hierarchical
r_aca6c408,d_e07af921,n_7dda3051,CONTAINS,The DesignPrinciple domain contains SOLID principles,hierarchical
r_301d4a59,d_e07af921,n_e16a1ede,CONTAINS,The DesignPrinciple domain contains KISS Principle,hierarchical
r_66627daa,d_e07af921,n_1fbd56e3,CONTAINS,The DesignPrinciple domain contains YAGNI Principle,hierarchical
r_3b2738ff,d_e07af921,n_b8204a34,CONTAINS,The DesignPrinciple domain contains Decomposition,hierarchical
r_f0629e5e,d_e07af921,n_155e1713,CONTAINS,The DesignPrinciple domain contains Procedural Abstraction,hierarchical
r_4c80aeaa,d_e07af921,n_dd717a26,CONTAINS,The DesignPrinciple domain contains Component Modularity,hierarchical
r_7702d059,d_e07af921,n_b1406c83,CONTAINS,The DesignPrinciple domain contains Intercomponent Communication,hierarchical
r_fa70bbcd,d_e07af921,n_6c11eb11,CONTAINS,The DesignPrinciple domain contains Component Dependencies,hierarchical
r_597ce8cb,d_e07af921,n_7b5d1b45,CONTAINS,"The DesignPrinciple domain contains KISS (Keep It Simple, Stupid)",hierarchical
r_d5176e8e,d_e07af921,n_8662fc0c,CONTAINS,The DesignPrinciple domain contains Rapid Application Development,hierarchical
r_390e8438,d_e07af921,n_af7abf35,CONTAINS,The DesignPrinciple domain contains Backward Compatibility,hierarchical
r_d7260a94,d_e07af921,n_555f5b95,CONTAINS,The DesignPrinciple domain contains Is-Composed-Of Relation,hierarchical
r_7c9824b8,d_e07af921,n_df65519a,CONTAINS,The DesignPrinciple domain contains Is-A Relation,hierarchical
r_be111fc6,d_e07af921,n_e7307dda,CONTAINS,The DesignPrinciple domain contains Abstraction and Information Hiding,hierarchical
r_11eb24d9,d_e07af921,n_aed6dbca,CONTAINS,The DesignPrinciple domain contains Open/Closed Principle,hierarchical
r_2c194d94,d_e07af921,n_5bcb89bb,CONTAINS,The DesignPrinciple domain contains Class vs Interface,hierarchical
r_f3a1369f,d_e07af921,n_4f8101de,CONTAINS,The DesignPrinciple domain contains Object Composition,hierarchical
r_a26842b8,d_e07af921,n_70d7d249,CONTAINS,The DesignPrinciple domain contains InformationHiding,hierarchical
r_b584911d,d_e07af921,n_f47cd892,CONTAINS,The DesignPrinciple domain contains TemporalDecomposition,hierarchical
r_363aec46,d_e07af921,n_1668a3a1,CONTAINS,The DesignPrinciple domain contains File Deletion in Windows,hierarchical
r_c531efe6,d_e07af921,n_e8619c58,CONTAINS,The DesignPrinciple domain contains Documentation as Design Tool,hierarchical
r_976a2cf5,d_e07af921,n_e725d631,CONTAINS,The DesignPrinciple domain contains Commenting Best Practices,hierarchical
r_543dbffe,d_e07af921,n_ae07f437,CONTAINS,The DesignPrinciple domain contains Good Code is Self-Documenting,hierarchical
r_84c65944,d_e07af921,n_8e2cf96e,CONTAINS,The DesignPrinciple domain contains Consistency,hierarchical
r_7f1d4fff,d_e07af921,n_b1ec7458,CONTAINS,The DesignPrinciple domain contains good naming conventions,hierarchical
r_f999608f,d_e07af921,n_9738c1ac,CONTAINS,The DesignPrinciple domain contains code consistency,hierarchical
r_29951fe6,d_e07af921,n_c25660f4,CONTAINS,The DesignPrinciple domain contains whitespace usage,hierarchical
r_ebf10e70,d_e07af921,n_8403afe3,CONTAINS,The DesignPrinciple domain contains Service Redundancy,hierarchical
r_566d9125,d_e07af921,n_d4ceaa61,CONTAINS,The DesignPrinciple domain contains Zero-Configuration Design,hierarchical
r_9e7d5c49,d_e07af921,n_538e0297,CONTAINS,The DesignPrinciple domain contains Test Driven Development,hierarchical
r_ade87a63,d_e07af921,n_689e7296,CONTAINS,The DesignPrinciple domain contains Bug Fixing,hierarchical
r_9c2ba080,d_e07af921,n_cf7246e7,CONTAINS,The DesignPrinciple domain contains Code Optimization,hierarchical
r_ed4ad502,d_e07af921,n_6e6137ba,CONTAINS,The DesignPrinciple domain contains Cross-Database Syntax,hierarchical
r_c8aad08e,d_e07af921,n_fa9eb171,CONTAINS,The DesignPrinciple domain contains HTTP Accept Header,hierarchical
r_4a6901dc,d_e07af921,n_a3cf3e65,CONTAINS,The DesignPrinciple domain contains Global State Management,hierarchical
r_12c53c9b,d_e07af921,n_796f7901,CONTAINS,The DesignPrinciple domain contains Integration Relationships,hierarchical
r_ffbf28ac,d_e07af921,n_668a0328,CONTAINS,The DesignPrinciple domain contains Strategic Design,hierarchical
r_1a9ea741,d_e07af921,n_03769102,CONTAINS,The DesignPrinciple domain contains Separation of Concerns,hierarchical
r_8c62ed32,d_e07af921,n_e2a29fc8,CONTAINS,The DesignPrinciple domain contains Principle of Least Knowledge,hierarchical
r_2afc018e,d_e07af921,n_64f30759,CONTAINS,The DesignPrinciple domain contains Single Responsibility,hierarchical
r_5c120acb,d_e07af921,n_66cf4e76,CONTAINS,The DesignPrinciple domain contains Proof by Induction,hierarchical
r_1867943d,d_e07af921,n_a6eec721,CONTAINS,The DesignPrinciple domain contains Divide and Conquer,hierarchical
r_af4c362a,d_e07af921,n_c5299c56,CONTAINS,The DesignPrinciple domain contains Cohesion Principles,hierarchical
r_b6d715e2,d_e07af921,n_5084d140,CONTAINS,The DesignPrinciple domain contains Stable Abstract Interfaces,hierarchical
r_d570d630,d_e07af921,n_03dfe55f,CONTAINS,The DesignPrinciple domain contains Volatile Concrete Classes,hierarchical
r_8b6ff59a,d_e07af921,n_9d4bed7c,CONTAINS,The DesignPrinciple domain contains Acyclic Dependency,hierarchical
r_232a84eb,d_e07af921,n_7d22ceb3,CONTAINS,The DesignPrinciple domain contains Stability Dependency Principle (SDP),hierarchical
r_a441cac8,d_e07af921,n_d0b1010b,CONTAINS,The DesignPrinciple domain contains Framework Dependency,hierarchical
r_ca30aa59,d_e07af921,n_38da732d,CONTAINS,The DesignPrinciple domain contains Dev-Ops Strategy,hierarchical
r_a72edf53,d_e07af921,n_9ea247f7,CONTAINS,The DesignPrinciple domain contains Decoupling Layers,hierarchical
r_d7cc3a6a,d_e07af921,n_1fb86703,CONTAINS,The DesignPrinciple domain contains DRY (Don\'t Repeat Yourself),hierarchical
r_c4390614,d_e07af921,n_0b51b0fb,CONTAINS,The DesignPrinciple domain contains Think-Do-Check Cycle,hierarchical
r_46f27ed6,d_e07af921,n_f6ad65c5,CONTAINS,The DesignPrinciple domain contains Design Optimization,hierarchical
r_faca38dd,d_e07af921,n_56fa8358,CONTAINS,The DesignPrinciple domain contains Satisficing Design,hierarchical
r_5702eb89,d_e07af921,n_3e9352eb,CONTAINS,The DesignPrinciple domain contains Risk Management in Architecture,hierarchical
r_20cbf5b3,d_e07af921,n_29560d12,CONTAINS,The DesignPrinciple domain contains Iterative Design,hierarchical
r_529b0786,d_e07af921,n_bf9ff1ce,CONTAINS,The DesignPrinciple domain contains Risk-Driven Approach,hierarchical
r_1879aef0,d_e07af921,n_50808aaa,CONTAINS,The DesignPrinciple domain contains Architectural Decisions,hierarchical
r_3320ba60,d_e07af921,n_bb61df91,CONTAINS,The DesignPrinciple domain contains Design Thinking,hierarchical
r_fd13f26b,d_e07af921,n_fed8b99c,CONTAINS,The DesignPrinciple domain contains Functional Responsibilities,hierarchical
r_76a364da,d_e07af921,n_171d5db9,CONTAINS,The DesignPrinciple domain contains Learning Objectives,hierarchical
r_b96ee3ac,d_e07af921,n_33384d82,CONTAINS,The DesignPrinciple domain contains understanding the problem activities,hierarchical
r_1b2e6587,d_e07af921,n_6a225c14,CONTAINS,The DesignPrinciple domain contains divide and conquer activity,hierarchical
r_05a73858,d_e07af921,n_1b8394b2,CONTAINS,The DesignPrinciple domain contains Keep It Simple,hierarchical
r_d43bc1e8,d_e07af921,n_4f136feb,CONTAINS,The DesignPrinciple domain contains Design for Extensibility,hierarchical
r_cf79d2f1,d_e07af921,n_9e5411fb,CONTAINS,The DesignPrinciple domain contains Rapid Prototyping,hierarchical
r_43360697,d_e07af921,n_3c91bec1,CONTAINS,The DesignPrinciple domain contains Program to an Interface,hierarchical
r_4848a1a8,d_e07af921,n_5dff8a8c,CONTAINS,The DesignPrinciple domain contains Interface Conformance,hierarchical
r_e5edf6cc,d_e07af921,n_1c0725a7,CONTAINS,The DesignPrinciple domain contains Hollywood Principle,hierarchical
r_b7a51298,d_e07af921,n_e5652c7c,CONTAINS,The DesignPrinciple domain contains Double Dispatch,hierarchical
r_60000352,d_e07af921,n_6141361c,CONTAINS,The DesignPrinciple domain contains encapsulation,hierarchical
r_4a9defe6,d_e07af921,n_857defc5,CONTAINS,The DesignPrinciple domain contains Loose Coupling,hierarchical
r_76b7bfa0,d_e07af921,n_ff229035,CONTAINS,The DesignPrinciple domain contains Use Case Driven Approach,hierarchical
r_887cc68e,d_e07af921,n_06fdf901,CONTAINS,The DesignPrinciple domain contains Reusable Classes,hierarchical
r_08cc1457,d_e07af921,n_6b175c37,CONTAINS,The DesignPrinciple domain contains Aggregation Relationship,hierarchical
r_fb0a12aa,d_e07af921,n_279fa259,CONTAINS,The DesignPrinciple domain contains Black-box Reuse,hierarchical
r_1fe6f0a3,d_e07af921,n_8ffdd047,CONTAINS,The DesignPrinciple domain contains Tight Coupling,hierarchical
r_72a88130,d_e07af921,n_4c454cf6,CONTAINS,The DesignPrinciple domain contains double dispatch,hierarchical
r_3f7eda8c,d_e07af921,n_22ac954a,CONTAINS,The DesignPrinciple domain contains Object-Oriented Design Methods,hierarchical
r_ff3bb1f1,d_e07af921,n_7fef8b14,CONTAINS,"The DesignPrinciple domain contains Coplien, James",hierarchical
r_cb9b0d6e,d_e07af921,n_d31d483d,CONTAINS,The DesignPrinciple domain contains Acyclic Dependencies Principle (ADP),hierarchical
r_7bf66428,d_e07af921,n_dffab2cb,CONTAINS,The DesignPrinciple domain contains Cohesion and Coupling Principles,hierarchical
r_2ac2de67,d_e07af921,n_bfb1927f,CONTAINS,The DesignPrinciple domain contains Stable Dependencies Principle (SDP),hierarchical
r_52f88b72,d_e07af921,n_5cb5a6f3,CONTAINS,The DesignPrinciple domain contains Granularity,hierarchical
r_ec0d7259,d_e07af921,n_7b2970d4,CONTAINS,The DesignPrinciple domain contains Stability,hierarchical
r_a74daa88,d_e07af921,n_d2f62d7d,CONTAINS,The DesignPrinciple domain contains Efferent Coupling,hierarchical
r_044b9433,d_e07af921,n_52842b59,CONTAINS,The DesignPrinciple domain contains Stable Abstractions Principle (SAP),hierarchical
r_265095df,d_e07af921,n_cc607eca,CONTAINS,The DesignPrinciple domain contains Open/Close Principle,hierarchical
r_a1a53fe2,d_e07af921,n_4c005017,CONTAINS,The DesignPrinciple domain contains Weak Coupling,hierarchical
r_0fdfba59,d_e07af921,n_e6d7425f,CONTAINS,The DesignPrinciple domain contains Single Dot Rule,hierarchical
r_4ac0020e,d_e07af921,n_0748856b,CONTAINS,The DesignPrinciple domain contains Hierarchy,hierarchical
r_6c08d6a5,d_e07af921,n_09919cc3,CONTAINS,The DesignPrinciple domain contains Common Standards for Interoperability,hierarchical
r_87e1aa31,d_e07af921,n_010922a0,CONTAINS,The DesignPrinciple domain contains Preventing Faults,hierarchical
r_1164fd2c,d_e07af921,n_3c88408e,CONTAINS,The DesignPrinciple domain contains DIVE Criteria,hierarchical
r_f351216d,d_e07af921,n_e4cc4f11,CONTAINS,The DesignPrinciple domain contains External Coupling,hierarchical
r_c43134bc,d_e07af921,n_75a84383,CONTAINS,The DesignPrinciple domain contains Control Coupling,hierarchical
r_811104e6,d_e07af921,n_1b6a291a,CONTAINS,The DesignPrinciple domain contains Stamp Coupling,hierarchical
r_4868d619,d_e07af921,n_dc5b2331,CONTAINS,The DesignPrinciple domain contains Data Coupling,hierarchical
r_418c535b,d_e07af921,n_cddace9e,CONTAINS,The DesignPrinciple domain contains Message Coupling,hierarchical
r_5cbdbeed,d_e07af921,n_14ba178d,CONTAINS,The DesignPrinciple domain contains No Coupling,hierarchical
r_774deeb3,d_e07af921,n_ffc655ee,CONTAINS,The DesignPrinciple domain contains Inversion of Control,hierarchical
r_2eaf605f,d_e07af921,n_e8b8c54d,CONTAINS,The DesignPrinciple domain contains Late Binding,hierarchical
r_09d64676,d_e07af921,n_fb52d8ea,CONTAINS,The DesignPrinciple domain contains Immutable Events,hierarchical
r_12470f4f,d_e07af921,n_dffd9fdc,CONTAINS,The DesignPrinciple domain contains Service Loose Coupling,hierarchical
r_6ace5f18,d_e07af921,n_33acb623,CONTAINS,The DesignPrinciple domain contains Service Abstraction,hierarchical
r_980690d0,d_e07af921,n_74b4dbba,CONTAINS,The DesignPrinciple domain contains Service Reusability,hierarchical
r_27249664,d_e07af921,n_5db45735,CONTAINS,The DesignPrinciple domain contains Service Autonomy,hierarchical
r_5ce389c2,d_e07af921,n_7041e1f3,CONTAINS,The DesignPrinciple domain contains Service Statelessness,hierarchical
r_4f20cdb6,d_e07af921,n_0d9e7dbf,CONTAINS,The DesignPrinciple domain contains Service Discoverability,hierarchical
r_48edb35d,d_e07af921,n_48607bdb,CONTAINS,The DesignPrinciple domain contains Service Composability,hierarchical
r_c4035e7c,d_e07af921,n_f21ea4fa,CONTAINS,The DesignPrinciple domain contains Service-Oriented Analysis,hierarchical
r_aaf67826,d_e07af921,n_d83f3e24,CONTAINS,The DesignPrinciple domain contains Polyglot Development,hierarchical
r_9bd94cba,d_e07af921,n_b5a7e1aa,CONTAINS,The DesignPrinciple domain contains Cloud-Native Applications,hierarchical
r_333f4c60,d_e07af921,n_50f018cb,CONTAINS,The DesignPrinciple domain contains Idempotence,hierarchical
