id:ID,:START_ID,:END_ID,:TYPE,description,relationship_type,strength,confidence
r_edc81251,d_e07af921,n_93434fa3,CONTAINS,The DesignPrinciple domain contains the concept 'Tactical Programming',hierarchical,strong,
r_62594939,d_e07af921,n_91c9ed43,CONTAINS,The DesignPrinciple domain contains the concept 'Simplicity in Design',hierarchical,strong,
r_05257153,d_e07af921,n_dd2554fb,CONTAINS,The DesignPrinciple domain contains the concept 'Critical Paths',hierarchical,strong,
r_2621e7fe,d_e07af921,n_76feffcd,CONTAINS,The DesignPrinciple domain contains the concept 'Complexity Management',hierarchical,strong,
r_4032ae7a,d_e07af921,n_e3add1fd,CONTAINS,The DesignPrinciple domain contains the concept 'Critical Path Design',hierarchical,strong,
r_104db957,d_e07af921,n_9c4ad5bd,CONTAINS,The DesignPrinciple domain contains the concept 'self-documenting code',hierarchical,strong,
r_cbf195a3,d_e07af921,n_9cb7c910,CONTAINS,The DesignPrinciple domain contains the concept 'small classes',hierarchical,strong,
r_9dec3100,d_e07af921,n_15580657,CONTAINS,The DesignPrinciple domain contains the concept 'Code Review',hierarchical,strong,
r_0124ffd3,d_e07af921,n_85a449e7,CONTAINS,The DesignPrinciple domain contains the concept 'Naming Conventions',hierarchical,strong,
r_6d4159dc,d_e07af921,n_230207ba,CONTAINS,The DesignPrinciple domain contains the concept 'Portability Strategy',hierarchical,strong,
r_543c1511,d_e07af921,n_93d4ba31,CONTAINS,The DesignPrinciple domain contains the concept 'Lazy Evaluation',hierarchical,strong,
r_04f09cdf,d_e07af921,n_ef0b52f0,CONTAINS,The DesignPrinciple domain contains the concept 'Type Checking',hierarchical,strong,
r_4c963582,d_e07af921,n_7fbe24a8,CONTAINS,The DesignPrinciple domain contains the concept 'Refactoring',hierarchical,strong,
r_a0d89391,d_e07af921,n_2137698d,CONTAINS,The DesignPrinciple domain contains the concept 'SHA',hierarchical,strong,
r_54d06a59,d_e07af921,n_5281afcf,CONTAINS,The DesignPrinciple domain contains the concept 'Zero Defects Policy',hierarchical,strong,
r_4cdca1a5,d_e07af921,n_1769fdf7,CONTAINS,The DesignPrinciple domain contains the concept 'Agile Development Model',hierarchical,strong,
r_1831f392,d_e07af921,n_65fb5527,CONTAINS,The DesignPrinciple domain contains the concept 'Modularization',hierarchical,strong,
r_5106cc64,d_e07af921,n_737441dd,CONTAINS,The DesignPrinciple domain contains the concept 'Incremental Modifications',hierarchical,strong,
r_e166ff64,d_e07af921,n_28ff9886,CONTAINS,The DesignPrinciple domain contains the concept 'Code Reorganization',hierarchical,strong,
r_604bb752,d_e07af921,n_03fe48a9,CONTAINS,The DesignPrinciple domain contains the concept 'high-level API',hierarchical,strong,
r_0a850668,d_e07af921,n_b2ed89cf,CONTAINS,The DesignPrinciple domain contains the concept 'Lazy Loading',hierarchical,strong,
r_247c12f4,d_e07af921,n_30e2718b,CONTAINS,The DesignPrinciple domain contains the concept 'Dynamic Language Choice',hierarchical,strong,
r_dde9504e,d_e07af921,n_debe1e07,CONTAINS,The DesignPrinciple domain contains the concept 'Network Transparency',hierarchical,strong,
r_5acc70ab,d_e07af921,n_5204212c,CONTAINS,The DesignPrinciple domain contains the concept 'Simplicity',hierarchical,strong,
r_f87bee25,d_e07af921,n_3091a0a6,CONTAINS,The DesignPrinciple domain contains the concept 'Object-Relational Impedance Mismatch',hierarchical,strong,
r_641562be,d_e07af921,n_814da0fb,CONTAINS,The DesignPrinciple domain contains the concept 'Leaky Abstraction',hierarchical,strong,
r_a27069c4,d_e07af921,n_8c2ec5cf,CONTAINS,The DesignPrinciple domain contains the concept 'Agile Development Methodologies',hierarchical,strong,
r_88ff1b11,d_e07af921,n_274e258a,CONTAINS,The DesignPrinciple domain contains the concept 'RESTful Principles',hierarchical,strong,
r_bc6f33c9,d_e07af921,n_0dec3e39,CONTAINS,The DesignPrinciple domain contains the concept 'End-to-End Principle',hierarchical,strong,
r_33bdae3f,d_e07af921,n_ef2a2124,CONTAINS,The DesignPrinciple domain contains the concept 'Law of Demeter',hierarchical,strong,
r_50d059c9,d_e07af921,n_c8d8242f,CONTAINS,The DesignPrinciple domain contains the concept 'Implicit Code Design',hierarchical,strong,
r_8295e0e0,d_e07af921,n_73580b0c,CONTAINS,The DesignPrinciple domain contains the concept 'Behavior-Rich Interface',hierarchical,strong,
r_f3435b94,d_e07af921,n_74477190,CONTAINS,The DesignPrinciple domain contains the concept 'Test-First Approach',hierarchical,strong,
r_dc834e91,d_e07af921,n_ff80def8,CONTAINS,The DesignPrinciple domain contains the concept 'Strategic Modeling',hierarchical,strong,
r_2a28d464,d_e07af921,n_bcaf9225,CONTAINS,The DesignPrinciple domain contains the concept 'Minimalistic State Management',hierarchical,strong,
r_17e6f3e5,d_e07af921,n_2ecce78e,CONTAINS,The DesignPrinciple domain contains the concept 'HATEOAS',hierarchical,strong,
r_7ca86bb4,d_e07af921,n_833acec0,CONTAINS,The DesignPrinciple domain contains the concept 'Table View Naming Convention',hierarchical,strong,
r_e336f618,d_e07af921,n_545672d1,CONTAINS,The DesignPrinciple domain contains the concept 'Practicality in View Management',hierarchical,strong,
r_0fa10415,d_e07af921,n_9b7f0413,CONTAINS,The DesignPrinciple domain contains the concept 'Fine-Grained Interfaces',hierarchical,strong,
r_ace0da27,d_e07af921,n_4af9ba9a,CONTAINS,The DesignPrinciple domain contains the concept 'Conceptual Whole',hierarchical,strong,
r_65016d92,d_e07af921,n_a04cc6ce,CONTAINS,The DesignPrinciple domain contains the concept 'Value Equality',hierarchical,strong,
r_c7268bb5,d_e07af921,n_8deec6ae,CONTAINS,The DesignPrinciple domain contains the concept 'Interface Implementation',hierarchical,strong,
r_cde6e9d8,d_e07af921,n_b5de0e02,CONTAINS,The DesignPrinciple domain contains the concept 'Side-Effect-Free Function',hierarchical,strong,
r_a3de8e82,d_e07af921,n_21765a73,CONTAINS,The DesignPrinciple domain contains the concept 'Immutability',hierarchical,strong,
r_267a1664,d_e07af921,n_a1b47888,CONTAINS,The DesignPrinciple domain contains the concept 'Single Responsibility Principle',hierarchical,strong,
r_fa7a03cc,d_e07af921,n_c1218fec,CONTAINS,The DesignPrinciple domain contains the concept 'Encryption Responsibility',hierarchical,strong,
r_a41c9d2b,d_e07af921,n_5d3db753,CONTAINS,The DesignPrinciple domain contains the concept 'URI Stability',hierarchical,strong,
r_d6ccebb3,d_e07af921,n_a76aa40b,CONTAINS,The DesignPrinciple domain contains the concept 'CQS (Command Query Separation)',hierarchical,strong,
r_4d99299d,d_e07af921,n_aa61d38c,CONTAINS,The DesignPrinciple domain contains the concept 'User Interface Convenience',hierarchical,strong,
r_fc355b14,d_e07af921,n_092fadd2,CONTAINS,"The DesignPrinciple domain contains the concept 'Tell, Don’t Ask'",hierarchical,strong,
r_86a60953,d_e07af921,n_ddbe2c1d,CONTAINS,The DesignPrinciple domain contains the concept 'DIP (Dependency Inversion Principle)',hierarchical,strong,
r_d924480e,d_e07af921,n_e40489cd,CONTAINS,The DesignPrinciple domain contains the concept 'Inheritance',hierarchical,strong,
r_097c3d95,d_e07af921,n_61f6dc35,CONTAINS,The DesignPrinciple domain contains the concept 'Design for Testability',hierarchical,strong,
r_0a32a8b8,d_e07af921,n_a5c3018b,CONTAINS,The DesignPrinciple domain contains the concept 'Open-Closed Principle',hierarchical,strong,
r_9646885c,d_e07af921,n_6cd7135a,CONTAINS,The DesignPrinciple domain contains the concept 'Object-Oriented Programming (OOP)',hierarchical,strong,
r_6f117ad9,d_e07af921,n_371fedf6,CONTAINS,The DesignPrinciple domain contains the concept 'Polymorphism',hierarchical,strong,
r_53bf6bbc,d_e07af921,n_728c5440,CONTAINS,The DesignPrinciple domain contains the concept 'Functional Programming',hierarchical,strong,
r_25837f3d,d_e07af921,n_9482f619,CONTAINS,The DesignPrinciple domain contains the concept 'Dependency Inversion',hierarchical,strong,
r_78a906dc,d_e07af921,n_ab4faa06,CONTAINS,The DesignPrinciple domain contains the concept 'Common Closure Principle',hierarchical,strong,
r_efde09a2,d_e07af921,n_840a2a67,CONTAINS,The DesignPrinciple domain contains the concept 'Common Reuse Principle',hierarchical,strong,
r_a1f0ac29,d_e07af921,n_4eba65a0,CONTAINS,The DesignPrinciple domain contains the concept 'Open Closed Principle',hierarchical,strong,
r_7248250e,d_e07af921,n_4662cd8b,CONTAINS,The DesignPrinciple domain contains the concept 'Component Principles',hierarchical,strong,
r_b2ac91db,d_e07af921,n_e01c9ed8,CONTAINS,The DesignPrinciple domain contains the concept 'Stable Dependencies Principle',hierarchical,strong,
r_8274d18b,d_e07af921,n_589090ae,CONTAINS,The DesignPrinciple domain contains the concept 'Component Cohesion Principles',hierarchical,strong,
r_b55c5e94,d_e07af921,n_0ffa8205,CONTAINS,The DesignPrinciple domain contains the concept 'Component Stability Metric',hierarchical,strong,
r_ee24e609,d_e07af921,n_1290f8a7,CONTAINS,The DesignPrinciple domain contains the concept 'Instability Metric (I)',hierarchical,strong,
r_c1a8f0b5,d_e07af921,n_922b4525,CONTAINS,The DesignPrinciple domain contains the concept 'Control Limits',hierarchical,strong,
r_75093a08,d_e07af921,n_b3689585,CONTAINS,The DesignPrinciple domain contains the concept 'Statistical Analysis',hierarchical,strong,
r_4e431882,d_e07af921,n_d058c219,CONTAINS,The DesignPrinciple domain contains the concept 'Stable Abstractions Principle',hierarchical,strong,
r_b7e65247,d_e07af921,n_ba4e00d0,CONTAINS,The DesignPrinciple domain contains the concept 'Decoupling',hierarchical,strong,
r_bca21c07,d_e07af921,n_da775177,CONTAINS,The DesignPrinciple domain contains the concept 'Independent Developability',hierarchical,strong,
r_33a480cc,d_e07af921,n_03042904,CONTAINS,The DesignPrinciple domain contains the concept 'Framework Dependency Management',hierarchical,strong,
r_809c7907,d_e07af921,n_4ded5fb8,CONTAINS,The DesignPrinciple domain contains the concept 'Dependency Rule',hierarchical,strong,
r_5db2d85b,d_e07af921,n_4154b559,CONTAINS,The DesignPrinciple domain contains the concept 'Structural Coupling',hierarchical,strong,
r_e3ee7e10,d_e07af921,n_ab233f2d,CONTAINS,The DesignPrinciple domain contains the concept 'DRY Principle',hierarchical,strong,
r_9a1a2827,d_e07af921,n_ac2823ba,CONTAINS,The DesignPrinciple domain contains the concept 'Decoupling Business Rules from UI',hierarchical,strong,
r_0bbb6d57,d_e07af921,n_22d1e834,CONTAINS,The DesignPrinciple domain contains the concept 'Volatile Components',hierarchical,strong,
r_3660872d,d_e07af921,n_30d222df,CONTAINS,The DesignPrinciple domain contains the concept 'Public Access Modifier',hierarchical,strong,
r_87ba99d1,d_e07af921,n_d6b6a784,CONTAINS,The DesignPrinciple domain contains the concept 'Responsibility-Driven Design',hierarchical,strong,
r_e664de94,d_e07af921,n_f81550ab,CONTAINS,The DesignPrinciple domain contains the concept 'Open-Closed Principle (OCP)',hierarchical,strong,
r_1f72640b,d_e07af921,n_bdc109c4,CONTAINS,The DesignPrinciple domain contains the concept 'Acyclic Dependencies Principle',hierarchical,strong,
r_eaae46af,d_e07af921,n_7a29f15f,CONTAINS,The DesignPrinciple domain contains the concept 'Reuse/Release Equivalence Principle',hierarchical,strong,
r_544e4b4a,d_e07af921,n_76377854,CONTAINS,The DesignPrinciple domain contains the concept 'Design for Change',hierarchical,strong,
r_483593c3,d_e07af921,n_8b8749a7,CONTAINS,The DesignPrinciple domain contains the concept 'Defer Binding Decisions',hierarchical,strong,
r_0510d92e,d_e07af921,n_170fc901,CONTAINS,The DesignPrinciple domain contains the concept 'Last Responsible Moment',hierarchical,strong,
r_adf48adb,d_e07af921,n_7ffb4d79,CONTAINS,The DesignPrinciple domain contains the concept 'Most Responsible Moment',hierarchical,strong,
r_decc6ebf,d_e07af921,n_864a61aa,CONTAINS,The DesignPrinciple domain contains the concept 'Design Rationale',hierarchical,strong,
r_a3ac154e,d_e07af921,n_1ed239ca,CONTAINS,The DesignPrinciple domain contains the concept 'Decision Matrix',hierarchical,strong,
r_1fd06e78,d_e07af921,n_7dda3051,CONTAINS,The DesignPrinciple domain contains the concept 'SOLID principles',hierarchical,strong,
r_773215dc,d_e07af921,n_e16a1ede,CONTAINS,The DesignPrinciple domain contains the concept 'KISS Principle',hierarchical,strong,
r_78e35435,d_e07af921,n_1fbd56e3,CONTAINS,The DesignPrinciple domain contains the concept 'YAGNI Principle',hierarchical,strong,
r_b0389896,d_e07af921,n_b8204a34,CONTAINS,The DesignPrinciple domain contains the concept 'Decomposition',hierarchical,strong,
r_8b8f7b3a,d_e07af921,n_155e1713,CONTAINS,The DesignPrinciple domain contains the concept 'Procedural Abstraction',hierarchical,strong,
r_df835d34,d_e07af921,n_dd717a26,CONTAINS,The DesignPrinciple domain contains the concept 'Component Modularity',hierarchical,strong,
r_d2427e28,d_e07af921,n_b1406c83,CONTAINS,The DesignPrinciple domain contains the concept 'Intercomponent Communication',hierarchical,strong,
r_62fcc65e,d_e07af921,n_6c11eb11,CONTAINS,The DesignPrinciple domain contains the concept 'Component Dependencies',hierarchical,strong,
r_823f233b,d_e07af921,n_7b5d1b45,CONTAINS,"The DesignPrinciple domain contains the concept 'KISS (Keep It Simple, Stupid)'",hierarchical,strong,
r_70b4052a,d_e07af921,n_8662fc0c,CONTAINS,The DesignPrinciple domain contains the concept 'Rapid Application Development',hierarchical,strong,
r_e07b396f,d_e07af921,n_af7abf35,CONTAINS,The DesignPrinciple domain contains the concept 'Backward Compatibility',hierarchical,strong,
r_935794a3,d_e07af921,n_555f5b95,CONTAINS,The DesignPrinciple domain contains the concept 'Is-Composed-Of Relation',hierarchical,strong,
r_676690e9,d_e07af921,n_df65519a,CONTAINS,The DesignPrinciple domain contains the concept 'Is-A Relation',hierarchical,strong,
r_44095d7f,d_e07af921,n_e7307dda,CONTAINS,The DesignPrinciple domain contains the concept 'Abstraction and Information Hiding',hierarchical,strong,
r_5f6a20d1,d_e07af921,n_aed6dbca,CONTAINS,The DesignPrinciple domain contains the concept 'Open/Closed Principle',hierarchical,strong,
r_a22d0f0f,d_e07af921,n_5bcb89bb,CONTAINS,The DesignPrinciple domain contains the concept 'Class vs Interface',hierarchical,strong,
r_740d0e70,d_e07af921,n_4f8101de,CONTAINS,The DesignPrinciple domain contains the concept 'Object Composition',hierarchical,strong,
r_db28ef1e,d_e07af921,n_70d7d249,CONTAINS,The DesignPrinciple domain contains the concept 'InformationHiding',hierarchical,strong,
r_def96dbe,d_e07af921,n_f47cd892,CONTAINS,The DesignPrinciple domain contains the concept 'TemporalDecomposition',hierarchical,strong,
r_48667637,d_e07af921,n_1668a3a1,CONTAINS,The DesignPrinciple domain contains the concept 'File Deletion in Windows',hierarchical,strong,
r_014c2116,d_e07af921,n_e8619c58,CONTAINS,The DesignPrinciple domain contains the concept 'Documentation as Design Tool',hierarchical,strong,
r_7def67e9,d_e07af921,n_e725d631,CONTAINS,The DesignPrinciple domain contains the concept 'Commenting Best Practices',hierarchical,strong,
r_062bbd3d,d_e07af921,n_ae07f437,CONTAINS,The DesignPrinciple domain contains the concept 'Good Code is Self-Documenting',hierarchical,strong,
r_3d470bc3,d_e07af921,n_8e2cf96e,CONTAINS,The DesignPrinciple domain contains the concept 'Consistency',hierarchical,strong,
r_16d2e17e,d_e07af921,n_b1ec7458,CONTAINS,The DesignPrinciple domain contains the concept 'good naming conventions',hierarchical,strong,
r_8f989d3c,d_e07af921,n_9738c1ac,CONTAINS,The DesignPrinciple domain contains the concept 'code consistency',hierarchical,strong,
r_dc99136c,d_e07af921,n_c25660f4,CONTAINS,The DesignPrinciple domain contains the concept 'whitespace usage',hierarchical,strong,
r_0347dc60,d_e07af921,n_8403afe3,CONTAINS,The DesignPrinciple domain contains the concept 'Service Redundancy',hierarchical,strong,
r_b162e2a5,d_e07af921,n_d4ceaa61,CONTAINS,The DesignPrinciple domain contains the concept 'Zero-Configuration Design',hierarchical,strong,
r_50e302d6,d_e07af921,n_538e0297,CONTAINS,The DesignPrinciple domain contains the concept 'Test Driven Development',hierarchical,strong,
r_c91d641c,d_e07af921,n_689e7296,CONTAINS,The DesignPrinciple domain contains the concept 'Bug Fixing',hierarchical,strong,
r_a7c4e0e1,d_e07af921,n_cf7246e7,CONTAINS,The DesignPrinciple domain contains the concept 'Code Optimization',hierarchical,strong,
r_1ba4fbc1,d_e07af921,n_6e6137ba,CONTAINS,The DesignPrinciple domain contains the concept 'Cross-Database Syntax',hierarchical,strong,
r_f71e8a7a,d_e07af921,n_fa9eb171,CONTAINS,The DesignPrinciple domain contains the concept 'HTTP Accept Header',hierarchical,strong,
r_653187a9,d_e07af921,n_a3cf3e65,CONTAINS,The DesignPrinciple domain contains the concept 'Global State Management',hierarchical,strong,
r_bb247e84,d_e07af921,n_796f7901,CONTAINS,The DesignPrinciple domain contains the concept 'Integration Relationships',hierarchical,strong,
r_784c3daa,d_e07af921,n_668a0328,CONTAINS,The DesignPrinciple domain contains the concept 'Strategic Design',hierarchical,strong,
r_ad22c421,d_e07af921,n_03769102,CONTAINS,The DesignPrinciple domain contains the concept 'Separation of Concerns',hierarchical,strong,
r_a0d1b630,d_e07af921,n_e2a29fc8,CONTAINS,The DesignPrinciple domain contains the concept 'Principle of Least Knowledge',hierarchical,strong,
r_1b3f3bd1,d_e07af921,n_64f30759,CONTAINS,The DesignPrinciple domain contains the concept 'Single Responsibility',hierarchical,strong,
r_e5e0af2b,d_e07af921,n_66cf4e76,CONTAINS,The DesignPrinciple domain contains the concept 'Proof by Induction',hierarchical,strong,
r_b60c9c41,d_e07af921,n_a6eec721,CONTAINS,The DesignPrinciple domain contains the concept 'Divide and Conquer',hierarchical,strong,
r_a37fbbdd,d_e07af921,n_c5299c56,CONTAINS,The DesignPrinciple domain contains the concept 'Cohesion Principles',hierarchical,strong,
r_097c7ae0,d_e07af921,n_5084d140,CONTAINS,The DesignPrinciple domain contains the concept 'Stable Abstract Interfaces',hierarchical,strong,
r_df37b799,d_e07af921,n_03dfe55f,CONTAINS,The DesignPrinciple domain contains the concept 'Volatile Concrete Classes',hierarchical,strong,
r_4df36ee2,d_e07af921,n_9d4bed7c,CONTAINS,The DesignPrinciple domain contains the concept 'Acyclic Dependency',hierarchical,strong,
r_383236ab,d_e07af921,n_7d22ceb3,CONTAINS,The DesignPrinciple domain contains the concept 'Stability Dependency Principle (SDP)',hierarchical,strong,
r_b69dfb26,d_e07af921,n_d0b1010b,CONTAINS,The DesignPrinciple domain contains the concept 'Framework Dependency',hierarchical,strong,
r_973ecd14,d_e07af921,n_38da732d,CONTAINS,The DesignPrinciple domain contains the concept 'Dev-Ops Strategy',hierarchical,strong,
r_35bd81bf,d_e07af921,n_9ea247f7,CONTAINS,The DesignPrinciple domain contains the concept 'Decoupling Layers',hierarchical,strong,
r_7ba2e995,d_e07af921,n_1fb86703,CONTAINS,The DesignPrinciple domain contains the concept 'DRY (Don\'t Repeat Yourself)',hierarchical,strong,
r_786a9090,d_e07af921,n_0b51b0fb,CONTAINS,The DesignPrinciple domain contains the concept 'Think-Do-Check Cycle',hierarchical,strong,
r_145f2143,d_e07af921,n_f6ad65c5,CONTAINS,The DesignPrinciple domain contains the concept 'Design Optimization',hierarchical,strong,
r_4b3baffa,d_e07af921,n_56fa8358,CONTAINS,The DesignPrinciple domain contains the concept 'Satisficing Design',hierarchical,strong,
r_ae4d5bfc,d_e07af921,n_3e9352eb,CONTAINS,The DesignPrinciple domain contains the concept 'Risk Management in Architecture',hierarchical,strong,
r_2406444f,d_e07af921,n_29560d12,CONTAINS,The DesignPrinciple domain contains the concept 'Iterative Design',hierarchical,strong,
r_860c7a5e,d_e07af921,n_bf9ff1ce,CONTAINS,The DesignPrinciple domain contains the concept 'Risk-Driven Approach',hierarchical,strong,
r_3208968f,d_e07af921,n_50808aaa,CONTAINS,The DesignPrinciple domain contains the concept 'Architectural Decisions',hierarchical,strong,
r_22ef0f14,d_e07af921,n_bb61df91,CONTAINS,The DesignPrinciple domain contains the concept 'Design Thinking',hierarchical,strong,
r_1669029d,d_e07af921,n_fed8b99c,CONTAINS,The DesignPrinciple domain contains the concept 'Functional Responsibilities',hierarchical,strong,
r_9b61bc9a,d_e07af921,n_171d5db9,CONTAINS,The DesignPrinciple domain contains the concept 'Learning Objectives',hierarchical,strong,
r_3425b76c,d_e07af921,n_33384d82,CONTAINS,The DesignPrinciple domain contains the concept 'understanding the problem activities',hierarchical,strong,
r_eef87f30,d_e07af921,n_6a225c14,CONTAINS,The DesignPrinciple domain contains the concept 'divide and conquer activity',hierarchical,strong,
r_d091f0e2,d_e07af921,n_1b8394b2,CONTAINS,The DesignPrinciple domain contains the concept 'Keep It Simple',hierarchical,strong,
r_a0dfb2d8,d_e07af921,n_4f136feb,CONTAINS,The DesignPrinciple domain contains the concept 'Design for Extensibility',hierarchical,strong,
r_7c61b045,d_e07af921,n_9e5411fb,CONTAINS,The DesignPrinciple domain contains the concept 'Rapid Prototyping',hierarchical,strong,
r_cae97b35,d_e07af921,n_3c91bec1,CONTAINS,The DesignPrinciple domain contains the concept 'Program to an Interface',hierarchical,strong,
r_49212a54,d_e07af921,n_5dff8a8c,CONTAINS,The DesignPrinciple domain contains the concept 'Interface Conformance',hierarchical,strong,
r_1a54d31e,d_e07af921,n_1c0725a7,CONTAINS,The DesignPrinciple domain contains the concept 'Hollywood Principle',hierarchical,strong,
r_baeb38dd,d_e07af921,n_e5652c7c,CONTAINS,The DesignPrinciple domain contains the concept 'Double Dispatch',hierarchical,strong,
r_8384abfd,d_e07af921,n_6141361c,CONTAINS,The DesignPrinciple domain contains the concept 'encapsulation',hierarchical,strong,
r_9499cf37,d_e07af921,n_857defc5,CONTAINS,The DesignPrinciple domain contains the concept 'Loose Coupling',hierarchical,strong,
r_d00e342b,d_e07af921,n_ff229035,CONTAINS,The DesignPrinciple domain contains the concept 'Use Case Driven Approach',hierarchical,strong,
r_3422f7b0,d_e07af921,n_06fdf901,CONTAINS,The DesignPrinciple domain contains the concept 'Reusable Classes',hierarchical,strong,
r_072148cf,d_e07af921,n_6b175c37,CONTAINS,The DesignPrinciple domain contains the concept 'Aggregation Relationship',hierarchical,strong,
r_e42ee242,d_e07af921,n_279fa259,CONTAINS,The DesignPrinciple domain contains the concept 'Black-box Reuse',hierarchical,strong,
r_6f0f4645,d_e07af921,n_8ffdd047,CONTAINS,The DesignPrinciple domain contains the concept 'Tight Coupling',hierarchical,strong,
r_d973d84e,d_e07af921,n_4c454cf6,CONTAINS,The DesignPrinciple domain contains the concept 'double dispatch',hierarchical,strong,
r_b374ff2e,d_e07af921,n_22ac954a,CONTAINS,The DesignPrinciple domain contains the concept 'Object-Oriented Design Methods',hierarchical,strong,
r_5da4af5e,d_e07af921,n_7fef8b14,CONTAINS,"The DesignPrinciple domain contains the concept 'Coplien, James'",hierarchical,strong,
r_c53daef9,d_e07af921,n_d31d483d,CONTAINS,The DesignPrinciple domain contains the concept 'Acyclic Dependencies Principle (ADP)',hierarchical,strong,
r_ad6020aa,d_e07af921,n_dffab2cb,CONTAINS,The DesignPrinciple domain contains the concept 'Cohesion and Coupling Principles',hierarchical,strong,
