id,source,target,relationship_type,properties
rel_000029,API and Toolkit,Security Protocols,RELATES_TO,"{description: ""The API and toolkit must adhere to security protocols to ensure safe interactions with social networking services.""}"
rel_000030,API for Testing Business Rules,Design for Testability,IMPLEMENTS,"{description: ""The API for Testing Business Rules is an implementation of the principle of designing for testability, allowing tests to operate independently of volatile components.""}"
rel_000031,ASCIIConverter,ConcreteBuilder,IMPLEMENTS,"{description: ""ASCIIConverter is a specific implementation of the ConcreteBuilder for ASCII text conversion.""}"
rel_000032,ATM Network,Availability,RELATES_TO,"{description: ""The ATM network\'s performance is heavily dependent on its availability to serve customers effectively.""}"
rel_000033,Above the Fold,Render Blocking Resources,RELATES_TO,"{description: ""The concept of Above the Fold emphasizes minimizing Render Blocking Resources to improve user experience.""}"
rel_000034,AbsoluteLayout,JComponent,RELATES_TO,"{description: ""AbsoluteLayout is a layout manager that can be applied to JComponent instances.""}"
rel_000035,Abstract Class,Class Inheritance,PART_OF,"{description: ""Abstract classes serve as a foundation for class inheritance, defining common interfaces for subclasses.""}"
rel_000036,Abstract Class,Composite,PART_OF,"{description: ""Abstract Class serves as a base for both Composite and Decorator implementations.""}"
rel_000037,Abstract Class,Inheritance,RELATES_TO,"{description: ""Abstract classes are used in inheritance to define a common interface for subclasses.""}"
rel_000038,Abstract Class,Polymorphism,RELATES_TO,"{description: ""Polymorphism relies on abstract classes to define a common interface for derived classes.""}"
rel_000039,Abstract Classes,Dependency Inversion Principle,IMPLEMENTS,"{description: ""Abstract Classes can be used to implement the Dependency Inversion Principle by providing a base for high-level modules to depend on abstractions.""}"
rel_000040,Abstract Classes,Open-Closed Principle (OCP),ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000041,Abstract Classes,Open/Closed Principle,IMPLEMENTS,"{description: ""Abstract classes facilitate the Open/Closed Principle by allowing extensions without modification.""}"
rel_000042,Abstract Common Services,Intermediary,IMPLEMENTS,"{description: ""The Abstract Common Services pattern often utilizes an Intermediary to manage the translation of requests.""}"
rel_000043,Abstract Common Services Tactic,Modifiability,RELATES_TO,"{description: ""This tactic aims to enhance modifiability by reducing coupling, though it may affect cohesion.""}"
rel_000044,Abstract Components,Flexible Component,DEPENDS_ON,"{description: ""Flexible Components depend on Abstract Components to ensure stable interactions and reduce coupling.""}"
rel_000045,Abstract Components,Open-Closed Principle (OCP),ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000046,Abstract Components,Open/Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000047,Abstract Factory,Adapter,RELATES_TO,"{description: ""The Abstract Factory can be used to create Adapter instances that allow for compatibility between different interfaces.""}"
rel_000048,Abstract Factory,Adapter,RELATES_TO,"{description: ""The Abstract Factory pattern can be used to create Adapter instances, allowing for flexible object creation.""}"
rel_000049,Abstract Factory,Builder,RELATES_TO,"{description: ""Both patterns provide ways to create complex objects, with Abstract Factory focusing on families of related objects and Builder on step-by-step construction.""}"
rel_000050,Abstract Factory,Builder Pattern,RELATES_TO,"{description: ""Both patterns provide ways to create complex objects, with Abstract Factory focusing on families of objects.""}"
rel_000051,Abstract Factory,ConcreteFactory,RELATES_TO,"{description: ""The Abstract Factory pattern consists of ConcreteFactories that create families of related products.""}"
rel_000052,Abstract Factory,ConcreteFactory1,IMPLEMENTS,"{description: ""ConcreteFactory1 implements the Abstract Factory pattern to create standard computer parts.""}"
rel_000053,Abstract Factory,ConcreteFactory1,PART_OF,"{description: ""ConcreteFactory1 is a specific implementation of the Abstract Factory pattern.""}"
rel_000054,Abstract Factory,ConcreteFactory2,IMPLEMENTS,"{description: ""ConcreteFactory2 implements the Abstract Factory pattern to create advanced computer parts.""}"
rel_000055,Abstract Factory,ConcreteFactory2,PART_OF,"{description: ""ConcreteFactory2 is another specific implementation of the Abstract Factory pattern.""}"
rel_000056,Abstract Factory,Creational Pattern,RELATES_TO,"{description: ""Abstract Factory is a specific implementation of the Creational Pattern.""}"
rel_000057,Abstract Factory,Dependency Inversion Principle,IMPLEMENTS,"{description: ""Abstract Factory allows for the creation of families of related objects without depending on concrete classes.""}"
rel_000058,Abstract Factory,Design Anti-Patterns,DEPENDS_ON,"{description: ""Understanding Abstract Factory can help avoid common design anti-patterns by promoting better object creation practices.""}"
rel_000059,Abstract Factory,Equipment,IMPLEMENTS,"{description: ""The Abstract Factory pattern is used to create instances of Equipment and SimEquipment.""}"
rel_000060,Abstract Factory,Factory Method,IMPLEMENTS,"{description: ""The Abstract Factory pattern uses the Factory Method to create products by defining an interface for product creation.""}"
rel_000061,Abstract Factory,Factory Method,RELATES_TO,"{description: ""Abstract Factory can be seen as an extension of the Factory Method pattern, allowing for the creation of multiple related objects.""}"
rel_000062,Abstract Factory,Factory Method,RELATES_TO,"{description: ""Abstract Factory often utilizes Factory Method to create products in a decoupled manner.""}"
rel_000063,Abstract Factory,Factory Method,RELATES_TO,"{description: ""Abstract Factory pattern is often implemented using Factory Method.""}"
rel_000064,Abstract Factory,GUIFactory,RELATES_TO,"{description: ""The Abstract Factory pattern is related to GUIFactory as it provides a way to create families of related GUI components.""}"
rel_000065,Abstract Factory,GUIFactory,RELATES_TO,"{description: ""The Abstract Factory pattern is related to the GUIFactory as it provides a way to create families of related GUI components.""}"
rel_000066,Abstract Factory,Ingredient Factory,IMPLEMENTS,"{description: ""The Ingredient Factory is a specific implementation of the Abstract Factory design pattern.""}"
rel_000067,Abstract Factory,Look,IMPLEMENTS,"{description: ""The Look class serves as an Abstract Factory for creating Layout objects.""}"
rel_000068,Abstract Factory,Modular Design,RELATES_TO,"{description: ""The Abstract Factory pattern supports modular design by allowing the creation of families of related objects in a modular way.""}"
rel_000069,Abstract Factory,Open Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000070,Abstract Factory,Open-Closed Principle (OCP),ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000071,Abstract Factory,Open/Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000072,Abstract Factory,Prototype,RELATES_TO,"{description: ""The Abstract Factory pattern can utilize the Prototype pattern to create new instances of objects.""}"
rel_000073,Abstract Factory,Room,IMPLEMENTS,"{description: ""The Abstract Factory pattern allows for the creation of Room instances as part of a family of related objects.""}"
rel_000074,Abstract Factory,ServiceFactory Interface,RELATES_TO,"{description: ""The Abstract Factory pattern is used to manage the creation of service instances through the ServiceFactory interface.""}"
rel_000075,Abstract Factory,Singleton,IMPLEMENTS,"{description: ""The Abstract Factory pattern can be implemented as a Singleton to ensure only one instance of a ConcreteFactory per product family.""}"
rel_000076,Abstract Factory,Singleton,RELATES_TO,"{description: ""Concrete factories in the Abstract Factory pattern are often implemented as Singletons.""}"
rel_000077,Abstract Factory,WidgetFactory,IMPLEMENTS,"{description: ""WidgetFactory implements the Abstract Factory pattern by providing an interface for creating widgets.""}"
rel_000078,Abstract Factory,WidgetFactory,IMPLEMENTS,"{description: ""WidgetFactory is an implementation of the Abstract Factory pattern, providing the interface for creating widget objects.""}"
rel_000079,Abstract Factory Pattern,Creational Pattern,IMPLEMENTS,"{description: ""The Abstract Factory Pattern is a specific implementation of a creational design pattern.""}"
rel_000080,Abstract Factory Pattern,Factory Method Pattern,RELATES_TO,"{description: ""Both patterns are creational design patterns that deal with object creation mechanisms.""}"
rel_000081,Abstract Queue Class,Queue,PART_OF,"{description: ""The abstract queue class defines the interface for various queue implementations, facilitating polymorphic behavior.""}"
rel_000082,Abstract Queue Class,Queue,PART_OF,"{description: ""The abstract queue class defines the interface for various queue implementations.""}"
rel_000083,Abstract Syntax Tree (AST),Data Access Layer API,DEPENDS_ON,"{description: ""The AST is utilized in the process of transforming code, which may involve data access operations.""}"
rel_000084,Abstract Syntax Tree (AST),GADTs,IMPLEMENTS,"{description: ""The Abstract Syntax Tree can represent Generalized Algebraic Data Types, allowing for more complex type structures.""}"
rel_000085,Abstract Syntax Tree (AST),Lazy Loading,IMPLEMENTS,"{description: ""The AST allows for lazy loading of configuration code, enhancing performance by reducing unnecessary parsing.""}"
rel_000086,Abstract Syntax Tree (AST),Lazy Loading,RELATES_TO,"{description: ""The AST supports lazy loading by allowing configurations to be parsed once and compiled multiple times.""}"
rel_000087,Abstract Syntax Tree (AST),Open Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000088,Abstract Syntax Tree (AST),Open-Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000089,Abstract Syntax Tree (AST),Open-Closed Principle (OCP),ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000090,Abstract Syntax Tree (AST),Open/Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000091,Abstract Syntax Tree (AST),Type Families,IMPLEMENTS,"{description: ""The Abstract Syntax Tree can also represent Type Families, enabling advanced type-level programming.""}"
rel_000092,Abstract Window Class,Application Window,PART_OF,"{description: ""Application Window is a specific implementation of the Abstract Window Class, providing application-specific behavior.""}"
rel_000093,Abstract Window Class,Application Window,PART_OF,"{description: ""Application Window is a specific implementation of the Abstract Window Class.""}"
rel_000094,Abstract Window Class,Dialog Window,PART_OF,"{description: ""Dialog Window is a specific implementation of the Abstract Window Class, providing dialog-specific behavior.""}"
rel_000095,Abstract Window Class,Dialog Window,PART_OF,"{description: ""Dialog Window is a specific implementation of the Abstract Window Class.""}"
rel_000096,Abstract Window Class,Icon Window,PART_OF,"{description: ""Icon Window is a specific implementation of the Abstract Window Class, providing icon-specific behavior.""}"
rel_000097,Abstract Window Class,Icon Window,PART_OF,"{description: ""Icon Window is a specific implementation of the Abstract Window Class.""}"
rel_000098,Abstract interface design,RESTful services,IMPLEMENTS,"{description: ""Abstract interface design is used to define the operations for RESTful services.""}"
rel_000099,Abstract interface design,SOAP-based services,IMPLEMENTS,"{description: ""Abstract interface design is used to define the operations for SOAP-based services.""}"
rel_000100,AbstractClass,ConcreteClass,DEPENDS_ON,"{description: ""ConcreteClass relies on AbstractClass to implement invariant steps of the algorithm.""}"
rel_000101,AbstractClass,ConcreteClass,DEPENDS_ON,"{description: ""ConcreteClass subclasses the AbstractClass and provides implementations for the abstract operations defined in it.""}"
rel_000102,AbstractClass,Hook Operation,CONTAINS,"{description: ""The AbstractClass may define hook operations that can be overridden by subclasses.""}"
rel_000103,AbstractDuckFactory,CountingDuckFactory,IMPLEMENTS,"{description: ""CountingDuckFactory is a concrete implementation of the AbstractDuckFactory, providing specific duck creation with counting functionality.""}"
rel_000104,AbstractDuckFactory,DuckFactory,IMPLEMENTS,"{description: ""DuckFactory is another concrete implementation of the AbstractDuckFactory, providing specific duck creation without decorators.""}"
rel_000105,AbstractFactory,FactoryMethod,IMPLEMENTS,"{description: ""The AbstractFactory pattern typically uses the FactoryMethod to create products.""}"
rel_000106,AbstractFactory,Singleton,IMPLEMENTS,"{description: ""The AbstractFactory pattern is often implemented as a Singleton to ensure a single instance per product family.""}"
rel_000107,AbstractIterator,ListIterator,PART_OF,"{description: ""AbstractIterator serves as a base for specific iterator implementations like ListIterator.""}"
rel_000108,AbstractIterator,ListIterator,PART_OF,"{description: ""ListIterator is a concrete implementation that extends the AbstractIterator interface.""}"
rel_000109,AbstractList,Iterator,CONTAINS,"{description: ""AbstractList defines a method to create an Iterator, establishing a relationship between the list structure and the iteration mechanism.""}"
rel_000110,AbstractList,Iterator,RELATES_TO,"{description: ""AbstractList defines a method to create an Iterator, establishing a relationship between the list and the iteration mechanism.""}"
rel_000111,AbstractList,List,PART_OF,"{description: ""AbstractList serves as a base for different list implementations, including List.""}"
rel_000112,AbstractList,SkipList,PART_OF,"{description: ""SkipList can be a concrete implementation of the AbstractList interface.""}"
rel_000113,AbstractList,SkipList,PART_OF,"{description: ""SkipList is another concrete implementation that can be manipulated through the AbstractList interface.""}"
rel_000114,AbstractNode.draw,Java2D Library,DEPENDS_ON,"{description: ""The draw method utilizes the Java2D library for rendering shapes and shadows.""}"
rel_000115,Abstraction,Behavioral Perspective,RELATES_TO,"{description: ""Abstraction helps in focusing on the key aspects of the Behavioral Perspective in system modeling.""}"
rel_000116,Abstraction,Cognitive Load,DEPENDS_ON,"{description: ""The effectiveness of an abstraction is influenced by the cognitive load it imposes on developers.""}"
rel_000117,Abstraction,Cognitive Load,DEPENDS_ON,"{description: ""The effectiveness of an abstraction is measured by the cognitive load it imposes on developers.""}"
rel_000118,Abstraction,Component Software,RELATES_TO,"{description: ""Abstraction is a key principle in component software design, allowing for simpler interfaces.""}"
rel_000119,Abstraction,Concurrency Strategy,RELATES_TO,"{description: ""Abstraction allows for the definition of concurrency strategies without exposing implementation details.""}"
rel_000120,Abstraction,Data Abstraction,RELATES_TO,"{description: ""Data abstraction is another form of abstraction that aids in managing complexity by separating data representation from operations.""}"
rel_000121,Abstraction,Documentation Comments,RELATES_TO,"{description: ""Abstraction relies on clear documentation comments to convey the intended use and behavior of methods and classes.""}"
rel_000122,Abstraction,Encapsulation,RELATES_TO,"{description: ""Abstraction and encapsulation are closely related design principles that help manage complexity in software design.""}"
rel_000123,Abstraction,Encapsulation,RELATES_TO,"{description: ""Abstraction and encapsulation are closely related design principles that work together to manage complexity in software design.""}"
rel_000124,Abstraction,Encapsulation,RELATES_TO,"{description: ""Abstraction and encapsulation are closely related principles that enhance software design by promoting modularity and reducing complexity.""}"
rel_000125,Abstraction,Encapsulation,RELATES_TO,"{description: ""Abstraction and encapsulation work together to hide complexity and protect module integrity.""}"
rel_000126,Abstraction,Encapsulation,RELATES_TO,"{description: ""Abstraction and encapsulation work together to manage complexity in software design.""}"
rel_000127,Abstraction,Encapsulation,RELATES_TO,"{description: ""Abstraction helps in creating modules, while encapsulation enforces communication between them.""}"
rel_000128,Abstraction,Encapsulation,RELATES_TO,"{description: ""Abstraction is closely related to encapsulation, as both aim to reduce complexity and increase maintainability.""}"
rel_000129,Abstraction,Encapsulation,RELATES_TO,"{description: ""Both are fundamental principles of OOP that contribute to data hiding and information management.""}"
rel_000130,Abstraction,Encapsulation,RELATES_TO,"{description: ""Both principles contribute to reducing complexity and enhancing maintainability in software design.""}"
rel_000131,Abstraction,External Perspective,RELATES_TO,"{description: ""Abstraction is relevant in defining the context modeled in the External Perspective.""}"
rel_000132,Abstraction,False Abstraction,CONTAINS,"{description: ""False abstractions are a risk when designing abstractions, as they can lead to confusion and errors.""}"
rel_000133,Abstraction,False Abstraction,RELATES_TO,"{description: ""A false abstraction occurs when important details are omitted, complicating the understanding of the abstraction.""}"
rel_000134,Abstraction,Implementor,DEPENDS_ON,"{description: ""The Abstraction depends on the Implementor to provide the concrete implementation of its methods.""}"
rel_000135,Abstraction,Information Hiding,RELATES_TO,"{description: ""Abstraction is closely related to information hiding, as both aim to simplify interactions with complex systems.""}"
rel_000136,Abstraction,Information Hiding,RELATES_TO,"{description: ""Abstraction often employs information hiding to simplify interactions with complex systems.""}"
rel_000137,Abstraction,Interaction Perspective,RELATES_TO,"{description: ""Abstraction aids in clarifying the interactions modeled in the Interaction Perspective.""}"
rel_000138,Abstraction,Loose Coupling,RELATES_TO,"{description: ""Abstraction contributes to loose coupling by reducing complexity and isolating changes.""}"
rel_000139,Abstraction,Maintainability,IMPACTS,"strength: 0.6,
                               description: ""Code structure impacts quality: Abstraction -> Maintainability"",
                               confidence: 0.6,
                               semantic_type: ""enhanced"",
                               replaced_from: ""RELATES_TO"""
rel_000140,Abstraction,Object-Oriented Design,RELATES_TO,"{description: ""Abstraction is a fundamental concept in object-oriented design, allowing for the simplification of complex systems.""}"
rel_000141,Abstraction,Open Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000142,Abstraction,Open-Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000143,Abstraction,Open-Closed Principle (OCP),ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000144,Abstraction,Open/Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000145,Abstraction,Performance,DEPENDS_ON,"{description: ""While abstraction can improve maintainability, it must be carefully designed to not hinder performance.""}"
rel_000146,Abstraction,Procedural Abstraction,RELATES_TO,"{description: ""Procedural Abstraction is a specific implementation of the broader concept of Abstraction in software design.""}"
rel_000147,Abstraction,Procedural Abstraction,RELATES_TO,"{description: ""Procedural abstraction is a form of abstraction that helps manage complexity in software design.""}"
rel_000148,Abstraction,Structural Perspective,RELATES_TO,"{description: ""Abstraction is used to simplify the Structural Perspective in system modeling.""}"
rel_000149,Abstraction Layer,Leaf Interface,CONTAINS,"{description: ""The abstraction layer contains the Leaf interface, allowing different implementations for data fetching.""}"
rel_000150,Abstraction Layer Architecture,Maintainability Level,SUPPORTS,"strength: 0.85,
                                   description: ""Layered architecture supports maintainability"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000151,Abstraction Layer Architecture,Maintainability Viewpoint,SUPPORTS,"strength: 0.85,
                                   description: ""Layered architecture supports maintainability"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000152,Abstraction Layer Architecture,Open MPI (OMPI),CONTAINS,"{description: ""The Abstraction Layer Architecture contains OMPI as the top layer that interfaces with applications.""}"
rel_000153,Abstraction Layer Architecture,Open MPI Run-Time Environment (ORTE),CONTAINS,"{description: ""The Abstraction Layer Architecture contains ORTE as the middle layer responsible for job management.""}"
rel_000154,Abstraction Layer Architecture,Open Portable Access Layer (OPAL),CONTAINS,"{description: ""The Abstraction Layer Architecture contains OPAL as its foundational layer, providing essential functionalities.""}"
rel_000155,Abstraction Principle,Encapsulation Principle,RELATES_TO,"{description: ""Both principles are essential for achieving efficient modularization in software design.""}"
rel_000156,Abstraction and Information Hiding,Extensibility,RELATES_TO,"{description: ""By hiding implementation details, systems can be made more extensible, allowing for easier addition of new features.""}"
rel_000157,Abstraction and Information Hiding,Maintainability,IMPACTS,"strength: 0.6,
                               description: ""Code structure impacts quality: Abstraction and Information Hiding -> Maintainability"",
                               confidence: 0.6,
                               semantic_type: ""enhanced"",
                               replaced_from: ""RELATES_TO"""
rel_000158,Abstraction and Information Hiding,Open/Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000159,Abstraction in Interfaces,Open Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000160,Abstraction in Interfaces,Open-Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000161,Abstraction in Interfaces,Open-Closed Principle (OCP),ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000162,Abstraction in Interfaces,Open/Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000163,Abstractness,A vs I Graph,PART_OF,"{description: ""The A vs I graph visually represents the relationship between abstractness and instability metrics.""}"
rel_000164,Abstractness,Instability,RELATES_TO,"{description: ""The level of abstractness in a codebase contributes to its instability, affecting how changes impact the overall system.""}"
rel_000165,Abstractness,Structured Design,RELATES_TO,"{description: ""Abstractness is a concept derived from structured design principles, indicating the balance between abstraction and implementation.""}"
rel_000166,Abstractness Metric,Open-Closed Principle (OCP),ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000167,Abstractness Metric,Open/Closed Principle,ENABLES,"strength: 0.85,
                                   description: ""Abstract classes enable OCP"",
                                   confidence: 0.9,
                                   source_type: ""semantic_inference"""
rel_000168,Accept Method,ExpressionVisitor,DEPENDS_ON,"{description: ""The Accept method in Expression allows ExpressionVisitor to visit the node.""}"
rel_000169,Accept Method,Open Closed Principle,INVERSE_OF_APPLIES_TO,"strength: 0.675,
                                   description: ""Reverse: OCP applies to method design"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000170,Accept Method,Open-Closed Principle,INVERSE_OF_APPLIES_TO,"strength: 0.675,
                                   description: ""Reverse: OCP applies to method design"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000171,Accept Method,Open-Closed Principle (OCP),INVERSE_OF_APPLIES_TO,"strength: 0.675,
                                   description: ""Reverse: OCP applies to method design"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000172,Accept Method,Open/Closed Principle,INVERSE_OF_APPLIES_TO,"strength: 0.675,
                                   description: ""Reverse: OCP applies to method design"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000173,Accept Method,Single Responsibility Principle,INVERSE_OF_APPLIES_TO,"strength: 0.765,
                                   description: ""Reverse: SRP applies to method responsibility"",
                                   confidence: 0.8,
                                   source_type: ""semantic_inference"""
rel_000174,Acceptance Test,Component,DEPENDS_ON,"{description: ""Acceptance tests depend on the components to ensure they meet the specified requirements.""}"
rel_000175,Acceptance Test Driven Development,Test Driven Development,RELATES_TO,"{description: ""Acceptance Test Driven Development is a variant of Test Driven Development that focuses on acceptance criteria.""}"
rel_000176,Acceptance Testing,Maintainability,RELATES_TO,"{description: ""Acceptance testing helps ensure that the software is maintainable by validating its functional and non-functional characteristics.""}"
rel_000177,Acceptance Testing,Performance,RELATES_TO,"{description: ""Acceptance testing includes performance tests to ensure the software meets performance requirements.""}"
rel_000178,Acceptance Testing,Reliability,RELATES_TO,"{description: ""Acceptance testing evaluates the reliability of the software to ensure it performs as expected over time.""}"
rel_000179,Acceptance Testing,Scalability,RELATES_TO,"{description: ""Acceptance testing assesses the scalability of the software by evaluating its performance under various loads.""}"
rel_000180,Acceptance Testing,Security,RELATES_TO,"{description: ""Acceptance testing verifies that the software meets security requirements to protect against unauthorized access.""}"
rel_000181,Acceptance Testing,User Story,RELATES_TO,"{description: ""Acceptance testing verifies that the implemented user stories meet customer needs.""}"
rel_000182,Access Control,Multi-tenancy,DEPENDS_ON,"{description: ""Access control mechanisms are essential in a multi-tenant architecture to manage user permissions and data access.""}"
rel_000183,Access Control System,Privileged Users,CONTAINS,"{description: ""The access control system defines the permissions and roles of privileged users within the system.""}"
rel_000184,Access Limitation,Demilitarized Zone (DMZ),PART_OF,"{description: ""A DMZ is an architectural pattern that helps in limiting access to internal resources.""}"
rel_000185,Access Logging,Log Analysis for Unusual Activity,DEPENDS_ON,"{description: ""Access logging provides the necessary data for log analysis to detect unusual activity.""}"
